cust_id,name,country,annual_income,job_tenure_years,is_bank_employee
1,Gabrielle Olsen,IN,68750,0,0
2,Mark Kirk,DE,119947,1,0
3,Dalton Martin,FR,72362,4,0
4,Steve Edwards,UAE,132633,18,0
5,Christopher Wilson,FR,35591,19,0
6,Stuart Wood,GB,77615,11,0
7,Jacob Wolfe,IN,62552,20,0
8,Kimberly Richardson,DE,62066,12,0
9,Eric Stone,FR,74164,14,0
10,Karen Martinez,UAE,96172,15,0
11,Sarah Lee,US,147788,0,0
12,Jordan Olson,IN,68626,19,0
13,Judith Prince,DE,72864,11,0
14,Barbara Nichols,US,46383,19,0
15,Anna Mcdowell,DE,33889,18,0
16,Jennifer Pierce,GB,37253,13,0
17,Sabrina Short,DE,100343,6,0
18,James Drake,FR,148348,4,0
19,Alan Martinez,FR,25120,9,0
20,Katherine Jensen,GB,27076,0,0
21,Yvonne Hall,US,50104,1,0
22,Patricia Smith,GB,131086,17,0
23,Holly Davis,IN,88216,11,0
24,Megan Navarro,IN,57326,13,0
25,Kimberly Coleman,FR,35029,0,0
26,Bryan Olson Jr.,GB,135454,20,1
27,Alyssa Moyer,DE,84346,17,0
28,Jessica Ruiz,IN,111772,5,0
29,Evan Coleman,DE,101369,3,0
30,Angela Porter,US,140373,19,0
31,Jessica Moore,DE,42324,17,0
32,Alicia Peterson,IN,148814,12,0
33,Stephen Bailey,GB,93302,15,0
34,Alejandra Garcia,UAE,26393,12,0
35,Michael Lopez,GB,126624,17,0
36,Jason Richard,DE,58723,20,0
37,Tiffany Brown,IN,33938,16,0
38,Melissa Bowen,US,149274,10,0
39,Katherine White,US,45117,7,0
40,Kyle Davila,US,85798,14,0
41,Christina King,IN,116976,6,0
42,Seth Garcia,GB,109064,7,0
43,Rachael Kidd,FR,80594,2,0
44,Ashley Jones,GB,87304,19,0
45,Michael Newman,FR,75237,2,0
46,Danielle Davis,US,71689,11,0
47,John Graham,FR,32294,5,0
48,Crystal Anderson,DE,136706,16,0
49,Annette Powers,US,81353,5,0
50,Jason Eaton,DE,51261,20,0
51,Mallory Brown,US,144825,12,0
52,Karen Young,FR,111472,20,0
53,Mia Morris,IN,128789,5,0
54,Justin Cook,IN,109828,20,0
55,Elaine Villarreal,IN,32366,16,0
56,Charles King,UAE,67141,16,0
57,Beth Brown,IN,142028,4,0
58,Beth Webb,FR,119183,16,0
59,Matthew Reed,UAE,82360,13,0
60,Melinda Olson,FR,145110,13,0
61,Danielle Snyder,GB,52235,8,0
62,Jennifer Hahn,US,88502,5,0
63,Lynn Kline,DE,106042,5,0
64,Russell Jones,GB,111949,9,0
65,Katie Jones,FR,84652,18,0
66,Melanie James,IN,139189,1,0
67,Stephen Strong,GB,74555,20,0
